service_id,store_id,service_group,merchant_name,merchant_address,store_name,store_address,store_longitude,store_latitude,Group_store,Area
3797980347767515401,6622632883573226978,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"61 Triệu Việt Vương, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM",105.850496,21.015931,Trung Nguyên Legend,North
3797980347767515401,6358594555648518452,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"31 Phan Chu Trinh, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.697206,10.772371,Trung Nguyên Legend,South
3797980347767515401,5527989640073787344,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"03 Nguyễn Oanh, Phường 10, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM",106.676269,10.835753,Trung Nguyên Legend,South
3797980347767515401,740624531884540961,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"Lô 19 tầng trệt, TT mua sắm Aeon BD Canar Đại Lộ Bình Dương, Xã Bình Hòa, Thị xã Thuận An, Bình Dương, VIỆT NAM",106.711333,10.930882,Trung Nguyên Legend,South
3797980347767515401,5485129856911407110,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"166  Cách Mạng Tháng 8, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ, VIỆT NAM",105.770551,10.054931,Trung Nguyên Legend,South
3797980347767515401,8403974922449548993,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"153 Hùng Vương, Phường 4, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM",106.675178,10.761247,Trung Nguyên Legend,South
3797980347767515401,8303891547229318154,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"81 Trần Bình Trọng, Phường 1, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6815201,10.7548033,Trung Nguyên Legend,South
3797980347767515401,4716229432130288885,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"52 Hai Bà Trưng, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",105.848691,21.025562,Trung Nguyên Legend,North
3797980347767515401,8038388656379888078,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"274 Võ Thị Sáu, Phường 7, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",106.682946,10.778874,Trung Nguyên Legend,South
3797980347767515401,4659316390055397725,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"27 - 29 Lê Hồng Phong, Phường Điện Biên, Quận Ba Đình, Hà Nội, VIỆT NAM",105.833555,21.0342,Trung Nguyên Legend,North
